Job Title,company_txt,Location,job_simp,seniority,predicted_opportunity_score,opportunity_band,years_experience,remote_yn,hybrid_yn,skill_count,detected_skills,explanation_preview
Data Analytics Manager,Full Potential Solutions,"Kansas City, MO",manager,manager,99.7,high,2,0,0,7,"['Python', 'SQL', 'Excel', 'Tableau', 'AWS', 'Snowflake', 'Statistics']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Cross-functional language suggests the role has business visibility beyond pure execution.
ATL - Data & Analytics (DA),Daugherty Business Solutions,"Atlanta, GA",other,mid,99.7,high,0,0,0,9,"['Python', 'SQL', 'Power BI', 'AWS', 'Spark', 'Airflow', 'Docker', 'Kubernetes', 'Statistics']","Posting references newer cloud or platform tooling, which strengthens market relevance. | Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants."
Marketing Data Analyst,San Manuel Casino,"Highland, CA",data analyst,mid,99.7,high,2,0,0,5,"['SQL', 'Excel', 'Tableau', 'Machine Learning', 'Statistics']","Posting includes multiple relevant data skills, suggesting steady hiring demand. | Experience expectations look relatively accessible for early-career applicants. | Advanced degree language may narrow the candidate pool."
Marketing Data Analyst,San Manuel Casino,"Highland, CA",data analyst,mid,99.7,high,2,0,0,5,"['SQL', 'Excel', 'Tableau', 'Machine Learning', 'Statistics']","Posting includes multiple relevant data skills, suggesting steady hiring demand. | Experience expectations look relatively accessible for early-career applicants. | Advanced degree language may narrow the candidate pool."
Data Scientist,Zimmerman Advertising,"Fort Lauderdale, FL",data scientist,mid,99.7,high,0,0,0,6,"['Python', 'SQL', 'Excel', 'Tableau', 'Machine Learning', 'Statistics']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Cross-functional language suggests the role has business visibility beyond pure execution.
Data Science Engineer - Mobile,Adobe,"San Jose, CA",other,mid,99.6,high,0,0,0,7,"['Python', 'SQL', 'Tableau', 'Power BI', 'Machine Learning', 'Statistics', 'ETL']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Cross-functional language suggests the role has business visibility beyond pure execution.
"Enterprise Architect, Data",MassMutual,"Boston, MA",other,mid,99.6,high,5,0,0,8,"['Python', 'SQL', 'Tableau', 'Power BI', 'AWS', 'Spark', 'Snowflake', 'ETL']",Posting signals a broad analytics stack with several in-demand tools. | Higher experience requirements raise the barrier to entry. | Cross-functional language suggests the role has business visibility beyond pure execution.
Data Science Engineer - Mobile,Adobe,"San Jose, CA",other,mid,99.6,high,0,0,0,7,"['Python', 'SQL', 'Tableau', 'Power BI', 'Machine Learning', 'Statistics', 'ETL']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Cross-functional language suggests the role has business visibility beyond pure execution.
"Enterprise Architect, Data",MassMutual,"Boston, MA",other,mid,99.6,high,5,0,0,8,"['Python', 'SQL', 'Tableau', 'Power BI', 'AWS', 'Spark', 'Snowflake', 'ETL']",Posting signals a broad analytics stack with several in-demand tools. | Higher experience requirements raise the barrier to entry. | Cross-functional language suggests the role has business visibility beyond pure execution.
Data Engineer,Pinnacol Assurance,"Denver, CO",data engineer,mid,99.5,high,0,0,0,6,"['Python', 'SQL', 'Airflow', 'Docker', 'Kubernetes', 'ETL']","Posting references newer cloud or platform tooling, which strengthens market relevance. | Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants."
Chief Data Scientist,ManTech,"Alexandria, VA",data scientist,mid,99.5,high,0,0,0,7,"['Python', 'SQL', 'Tableau', 'Power BI', 'Spark', 'Machine Learning', 'Statistics']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Advanced degree language may narrow the candidate pool.
Data Scientist,Lockheed Martin,"Herndon, VA",data scientist,mid,99.5,high,0,0,0,7,"['Python', 'SQL', 'Tableau', 'Spark', 'Machine Learning', 'Statistics', 'ETL']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Cross-functional language suggests the role has business visibility beyond pure execution.
Data Engineer,Pinnacol Assurance,"Denver, CO",data engineer,mid,99.5,high,0,0,0,6,"['Python', 'SQL', 'Airflow', 'Docker', 'Kubernetes', 'ETL']","Posting references newer cloud or platform tooling, which strengthens market relevance. | Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants."
Data Scientist,TRANZACT,"Fort Lee, NJ",data scientist,mid,99.5,high,2,1,0,7,"['Python', 'SQL', 'Excel', 'Tableau', 'Power BI', 'Machine Learning', 'Statistics']",Posting signals a broad analytics stack with several in-demand tools. | Remote language improves flexibility and expands the reachable talent pool. | Experience expectations look relatively accessible for early-career applicants.
Data Engineer,Pinnacol Assurance,"Denver, CO",data engineer,mid,99.5,high,0,0,0,6,"['Python', 'SQL', 'Airflow', 'Docker', 'Kubernetes', 'ETL']","Posting references newer cloud or platform tooling, which strengthens market relevance. | Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants."
Chief Data Scientist,ManTech,"Alexandria, VA",data scientist,mid,99.5,high,0,0,0,7,"['Python', 'SQL', 'Tableau', 'Power BI', 'Spark', 'Machine Learning', 'Statistics']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Advanced degree language may narrow the candidate pool.
Data Scientist,Esri,"Redlands, CA",data scientist,mid,99.4,high,2,0,0,8,"['Python', 'Tableau', 'AWS', 'Spark', 'Docker', 'Kubernetes', 'Machine Learning', 'Statistics']","Posting references newer cloud or platform tooling, which strengthens market relevance. | Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants."
Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics,Visa Inc.,"Ashburn, VA",data scientist,senior,99.4,high,0,1,0,6,"['Python', 'SQL', 'Tableau', 'Spark', 'Machine Learning', 'Statistics']",Posting signals a broad analytics stack with several in-demand tools. | Remote language improves flexibility and expands the reachable talent pool. | Experience expectations look relatively accessible for early-career applicants.
Data Scientist,Esri,"Redlands, CA",data scientist,mid,99.4,high,2,0,0,8,"['Python', 'Tableau', 'AWS', 'Spark', 'Docker', 'Kubernetes', 'Machine Learning', 'Statistics']","Posting references newer cloud or platform tooling, which strengthens market relevance. | Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants."
Data Scientist SR,The Buffalo Group,"Charlottesville, VA",data scientist,senior,99.3,high,0,0,0,6,"['Python', 'SQL', 'Spark', 'Machine Learning', 'Statistics', 'ETL']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Advanced degree language may narrow the candidate pool.
Data Analyst,NCSOFT,"San Mateo, CA",data analyst,mid,99.3,high,0,0,0,5,"['Python', 'SQL', 'Excel', 'Tableau', 'Statistics']","Posting includes multiple relevant data skills, suggesting steady hiring demand. | Experience expectations look relatively accessible for early-career applicants. | Cross-functional language suggests the role has business visibility beyond pure execution."
Managing Data Scientist/ML Engineer,PA Consulting,"Boston, MA",data scientist,mid,99.3,high,7,0,0,7,"['SQL', 'Excel', 'Tableau', 'Spark', 'Machine Learning', 'Statistics', 'ETL']",Posting signals a broad analytics stack with several in-demand tools. | Higher experience requirements raise the barrier to entry. | Cross-functional language suggests the role has business visibility beyond pure execution.
Business Intelligence Analyst,Northpointe Bank,"Grand Rapids, MI",business intelligence,mid,99.3,high,0,0,0,6,"['SQL', 'Excel', 'Tableau', 'Power BI', 'Statistics', 'ETL']","Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Company rating is relatively strong, which can be a positive quality signal."
Data Scientist SR,The Buffalo Group,"Charlottesville, VA",data scientist,senior,99.3,high,0,0,0,6,"['Python', 'SQL', 'Spark', 'Machine Learning', 'Statistics', 'ETL']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Advanced degree language may narrow the candidate pool.
Managing Data Scientist/ML Engineer,PA Consulting,"Boston, MA",data scientist,mid,99.3,high,7,0,0,7,"['SQL', 'Excel', 'Tableau', 'Spark', 'Machine Learning', 'Statistics', 'ETL']",Posting signals a broad analytics stack with several in-demand tools. | Higher experience requirements raise the barrier to entry. | Cross-functional language suggests the role has business visibility beyond pure execution.
Data Scientist/ML Engineer,PA Consulting,"New York, NY",data scientist,mid,99.3,high,5,0,0,8,"['Python', 'SQL', 'Excel', 'Tableau', 'Spark', 'Machine Learning', 'Statistics', 'ETL']",Posting signals a broad analytics stack with several in-demand tools. | Higher experience requirements raise the barrier to entry. | Cross-functional language suggests the role has business visibility beyond pure execution.
"VP, Data Science",PennyMac,"Phoenix, AZ",other,mid,99.2,high,5,0,0,5,"['Python', 'SQL', 'Excel', 'Machine Learning', 'Statistics']","Posting includes multiple relevant data skills, suggesting steady hiring demand. | Experience expectations look relatively accessible for early-career applicants. | Cross-functional language suggests the role has business visibility beyond pure execution."
Senior Data Engineer,Genesys,"Durham, NC",data engineer,senior,99.2,high,0,0,0,5,"['Python', 'AWS', 'Spark', 'Airflow', 'ETL']","Posting includes multiple relevant data skills, suggesting steady hiring demand. | Experience expectations look relatively accessible for early-career applicants. | Company rating is relatively strong, which can be a positive quality signal."
"Data Engineer, Data Engineering and Artifical Intelligence",Takeda Pharmaceuticals,"Cambridge, MA",data engineer,mid,99.2,high,2,0,0,6,"['Python', 'SQL', 'Tableau', 'AWS', 'Spark', 'Machine Learning']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Detailed job description suggests a more mature hiring process and clearer scope.
Data Engineer 4 - Contract (Remote),The Church of Jesus Christ of Latter-day Saints,"Riverton, UT",data engineer,mid,99.2,high,1,1,0,6,"['SQL', 'Tableau', 'Power BI', 'Machine Learning', 'Statistics', 'ETL']",Posting signals a broad analytics stack with several in-demand tools. | Remote language improves flexibility and expands the reachable talent pool. | Experience expectations look relatively accessible for early-career applicants.
Data Engineer 4 - Contract (Remote),The Church of Jesus Christ of Latter-day Saints,"Riverton, UT",data engineer,mid,99.2,high,1,1,0,6,"['SQL', 'Tableau', 'Power BI', 'Machine Learning', 'Statistics', 'ETL']",Posting signals a broad analytics stack with several in-demand tools. | Remote language improves flexibility and expands the reachable talent pool. | Experience expectations look relatively accessible for early-career applicants.
Senior Data Engineer,Figure Eight,"San Francisco, CA",data engineer,senior,99.2,high,3,0,0,6,"['Python', 'AWS', 'Airflow', 'Docker', 'Machine Learning', 'ETL']","Posting references newer cloud or platform tooling, which strengthens market relevance. | Posting signals a broad analytics stack with several in-demand tools. | Cross-functional language suggests the role has business visibility beyond pure execution."
Products Data Analyst II,TriNet,"Dublin, CA",data analyst,mid,99.2,high,4,0,0,5,"['SQL', 'Excel', 'Tableau', 'Statistics', 'ETL']","Posting includes multiple relevant data skills, suggesting steady hiring demand. | Advanced degree language may narrow the candidate pool. | Cross-functional language suggests the role has business visibility beyond pure execution."
Data Engineer 4 - Contract (Remote),The Church of Jesus Christ of Latter-day Saints,"Riverton, UT",data engineer,mid,99.2,high,1,1,0,6,"['SQL', 'Tableau', 'Power BI', 'Machine Learning', 'Statistics', 'ETL']",Posting signals a broad analytics stack with several in-demand tools. | Remote language improves flexibility and expands the reachable talent pool. | Experience expectations look relatively accessible for early-career applicants.
Senior Data Engineer,Figure Eight,"San Francisco, CA",data engineer,senior,99.2,high,3,0,0,6,"['Python', 'AWS', 'Airflow', 'Docker', 'Machine Learning', 'ETL']","Posting references newer cloud or platform tooling, which strengthens market relevance. | Posting signals a broad analytics stack with several in-demand tools. | Cross-functional language suggests the role has business visibility beyond pure execution."
Senior Data Engineer,Genesys,"Durham, NC",data engineer,senior,99.2,high,0,0,0,5,"['Python', 'AWS', 'Spark', 'Airflow', 'ETL']","Posting includes multiple relevant data skills, suggesting steady hiring demand. | Experience expectations look relatively accessible for early-career applicants. | Company rating is relatively strong, which can be a positive quality signal."
"VP, Data Science",PennyMac,"Phoenix, AZ",other,mid,99.2,high,5,0,0,5,"['Python', 'SQL', 'Excel', 'Machine Learning', 'Statistics']","Posting includes multiple relevant data skills, suggesting steady hiring demand. | Experience expectations look relatively accessible for early-career applicants. | Cross-functional language suggests the role has business visibility beyond pure execution."
Business Data Analyst,Fareportal,"New York, NY",data analyst,mid,99.2,high,2,0,0,5,"['Python', 'SQL', 'Excel', 'Power BI', 'Statistics']","Posting includes multiple relevant data skills, suggesting steady hiring demand. | Experience expectations look relatively accessible for early-career applicants. | Advanced degree language may narrow the candidate pool."
Products Data Analyst II,TriNet,"Dublin, CA",data analyst,mid,99.2,high,4,0,0,5,"['SQL', 'Excel', 'Tableau', 'Statistics', 'ETL']","Posting includes multiple relevant data skills, suggesting steady hiring demand. | Advanced degree language may narrow the candidate pool. | Cross-functional language suggests the role has business visibility beyond pure execution."
Business Data Analyst,Fareportal,"New York, NY",data analyst,mid,99.2,high,2,0,0,5,"['Python', 'SQL', 'Excel', 'Power BI', 'Statistics']","Posting includes multiple relevant data skills, suggesting steady hiring demand. | Experience expectations look relatively accessible for early-career applicants. | Advanced degree language may narrow the candidate pool."
Lead Big Data Engineer,Glassdoor,"San Francisco, CA",data engineer,senior,99.1,high,3,0,0,6,"['Python', 'AWS', 'Spark', 'Airflow', 'Machine Learning', 'ETL']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Cross-functional language suggests the role has business visibility beyond pure execution.
Lead Big Data Engineer,Glassdoor,"San Francisco, CA",data engineer,senior,99.1,high,3,0,0,6,"['Python', 'AWS', 'Spark', 'Airflow', 'Machine Learning', 'ETL']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Cross-functional language suggests the role has business visibility beyond pure execution.
Data Modeler - Data Solutions Engineer,Liberty Mutual Insurance,"Indianapolis, IN",other,mid,99.1,high,3,0,0,5,"['Python', 'SQL', 'Power BI', 'Snowflake', 'ETL']","Posting includes multiple relevant data skills, suggesting steady hiring demand. | Experience expectations look relatively accessible for early-career applicants. | Detailed job description suggests a more mature hiring process and clearer scope."
Data Modeler - Data Solutions Engineer,Liberty Mutual Insurance,"Indianapolis, IN",other,mid,99.1,high,3,0,0,5,"['Python', 'SQL', 'Power BI', 'Snowflake', 'ETL']","Posting includes multiple relevant data skills, suggesting steady hiring demand. | Experience expectations look relatively accessible for early-career applicants. | Detailed job description suggests a more mature hiring process and clearer scope."
Marketing Data Analyst,Citadel Federal Credit Union,"Exton, PA",data analyst,mid,99.0,high,3,0,0,4,"['Python', 'SQL', 'Tableau', 'Power BI']","Posting includes multiple relevant data skills, suggesting steady hiring demand. | Experience expectations look relatively accessible for early-career applicants. | Cross-functional language suggests the role has business visibility beyond pure execution."
Senior Data Engineer,Eventbrite,"Nashville, TN",data engineer,senior,99.0,high,5,0,0,6,"['Python', 'SQL', 'AWS', 'Spark', 'Machine Learning', 'ETL']",Posting signals a broad analytics stack with several in-demand tools. | Higher experience requirements raise the barrier to entry. | Cross-functional language suggests the role has business visibility beyond pure execution.
"Business Data Analyst, SQL",Fareportal,"New York, NY",data analyst,mid,99.0,high,2,0,0,5,"['SQL', 'Excel', 'Tableau', 'Power BI', 'Statistics']","Posting includes multiple relevant data skills, suggesting steady hiring demand. | Experience expectations look relatively accessible for early-career applicants. | Advanced degree language may narrow the candidate pool."
Senior Data Engineer,Eventbrite,"Nashville, TN",data engineer,senior,99.0,high,5,0,0,6,"['Python', 'SQL', 'AWS', 'Spark', 'Machine Learning', 'ETL']",Posting signals a broad analytics stack with several in-demand tools. | Higher experience requirements raise the barrier to entry. | Cross-functional language suggests the role has business visibility beyond pure execution.
Marketing Data Analyst,Citadel Federal Credit Union,"Exton, PA",data analyst,mid,99.0,high,3,0,0,4,"['Python', 'SQL', 'Tableau', 'Power BI']","Posting includes multiple relevant data skills, suggesting steady hiring demand. | Experience expectations look relatively accessible for early-career applicants. | Cross-functional language suggests the role has business visibility beyond pure execution."
Senior Data Scientist,American Axle & Manufacturing,"Southfield, MI",data scientist,senior,98.9,high,5,0,0,8,"['Python', 'SQL', 'Power BI', 'AWS', 'Spark', 'Machine Learning', 'Statistics', 'ETL']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Advanced degree language may narrow the candidate pool.
Data Scientist - Systems Engineering,MITRE,"Bedford, MA",data scientist,mid,98.9,high,1,0,0,5,"['Python', 'SQL', 'Excel', 'Tableau', 'Statistics']","Posting includes multiple relevant data skills, suggesting steady hiring demand. | Experience expectations look relatively accessible for early-career applicants. | Detailed job description suggests a more mature hiring process and clearer scope."
Data Scientist - Systems Engineering,MITRE,"Bedford, MA",data scientist,mid,98.9,high,1,0,0,5,"['Python', 'SQL', 'Excel', 'Tableau', 'Statistics']","Posting includes multiple relevant data skills, suggesting steady hiring demand. | Experience expectations look relatively accessible for early-career applicants. | Detailed job description suggests a more mature hiring process and clearer scope."
Data Analyst,Yesler,"Seattle, WA",data analyst,mid,98.9,high,5,1,0,9,"['Python', 'SQL', 'Excel', 'Tableau', 'Power BI', 'AWS', 'Spark', 'Statistics', 'ETL']",Posting signals a broad analytics stack with several in-demand tools. | Remote language improves flexibility and expands the reachable talent pool. | Higher experience requirements raise the barrier to entry.
Data Engineer,PennyMac,"Agoura Hills, CA",data engineer,mid,98.9,high,0,0,0,6,"['Python', 'SQL', 'Excel', 'Tableau', 'AWS', 'ETL']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Advanced degree language may narrow the candidate pool.
Supply Chain Data Analyst,Icon Health and Fitness,"Logan, UT",data analyst,mid,98.9,high,0,0,0,5,"['Python', 'SQL', 'Excel', 'Tableau', 'Statistics']","Posting includes multiple relevant data skills, suggesting steady hiring demand. | Experience expectations look relatively accessible for early-career applicants. | Detailed job description suggests a more mature hiring process and clearer scope."
Data Scientist,Northrop Grumman,"San Diego, CA",data scientist,mid,98.8,high,2,0,0,4,"['SQL', 'Excel', 'Tableau', 'Statistics']","Posting includes multiple relevant data skills, suggesting steady hiring demand. | Experience expectations look relatively accessible for early-career applicants. | Detailed job description suggests a more mature hiring process and clearer scope."
Big Data Engineer - Chicago - Future Opportunity,Centro,"Chicago, IL",data engineer,mid,98.8,high,0,0,0,8,"['Python', 'SQL', 'AWS', 'Spark', 'Docker', 'Kubernetes', 'Machine Learning', 'ETL']","Posting references newer cloud or platform tooling, which strengthens market relevance. | Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants."
Data Scientist,Northrop Grumman,"San Diego, CA",data scientist,mid,98.8,high,2,0,0,4,"['SQL', 'Excel', 'Tableau', 'Statistics']","Posting includes multiple relevant data skills, suggesting steady hiring demand. | Experience expectations look relatively accessible for early-career applicants. | Detailed job description suggests a more mature hiring process and clearer scope."
Data Scientist,ExecOnline,"New York, NY",data scientist,mid,98.8,high,3,1,0,8,"['Python', 'SQL', 'Tableau', 'AWS', 'Snowflake', 'Machine Learning', 'Statistics', 'Experimentation']",Posting signals a broad analytics stack with several in-demand tools. | Remote language improves flexibility and expands the reachable talent pool. | Cross-functional language suggests the role has business visibility beyond pure execution.
Junior Data Analyst,The HSC Health Care System,"Washington, DC",data analyst,junior,98.8,high,0,0,0,5,"['SQL', 'Excel', 'Tableau', 'Power BI', 'Statistics']","Posting includes multiple relevant data skills, suggesting steady hiring demand. | Experience expectations look relatively accessible for early-career applicants. | Advanced degree language may narrow the candidate pool."
Data Scientist,ExecOnline,"New York, NY",data scientist,mid,98.8,high,3,1,0,8,"['Python', 'SQL', 'Tableau', 'AWS', 'Snowflake', 'Machine Learning', 'Statistics', 'Experimentation']",Posting signals a broad analytics stack with several in-demand tools. | Remote language improves flexibility and expands the reachable talent pool. | Cross-functional language suggests the role has business visibility beyond pure execution.
Data Scientist,Quick Base,"Cambridge, MA",data scientist,mid,98.8,high,1,0,0,7,"['Python', 'SQL', 'Excel', 'Tableau', 'Power BI', 'Machine Learning', 'Statistics']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Advanced degree language may narrow the candidate pool.
Data Scientist,Cuboid IT Solutions,"Phoenix, AZ",data scientist,mid,98.7,high,0,0,0,7,"['Python', 'SQL', 'Tableau', 'Power BI', 'AWS', 'Machine Learning', 'ETL']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Advanced degree language may narrow the candidate pool.
Data Scientist,Cuboid IT Solutions,"Phoenix, AZ",data scientist,mid,98.7,high,0,0,0,7,"['Python', 'SQL', 'Tableau', 'Power BI', 'AWS', 'Machine Learning', 'ETL']",Posting signals a broad analytics stack with several in-demand tools. | Experience expectations look relatively accessible for early-career applicants. | Advanced degree language may narrow the candidate pool.
Salesforce Analytics Consultant,"Emtec, Inc.","Chicago, IL",business intelligence,mid,98.7,high,2,1,0,4,"['Python', 'SQL', 'Tableau', 'Power BI']","Posting includes multiple relevant data skills, suggesting steady hiring demand. | Remote language improves flexibility and expands the reachable talent pool. | Experience expectations look relatively accessible for early-career applicants."
"Tech Manager, Software Engineering - Data",Macy's,"Johns Creek, GA",manager,manager,98.7,high,3,0,0,8,"['Python', 'SQL', 'Tableau', 'Power BI', 'Spark', 'Snowflake', 'Airflow', 'Statistics']","Posting references newer cloud or platform tooling, which strengthens market relevance. | Posting signals a broad analytics stack with several in-demand tools. | Advanced degree language may narrow the candidate pool."
Salesforce Analytics Consultant,"Emtec, Inc.","Chicago, IL",business intelligence,mid,98.7,high,2,1,0,4,"['Python', 'SQL', 'Tableau', 'Power BI']","Posting includes multiple relevant data skills, suggesting steady hiring demand. | Remote language improves flexibility and expands the reachable talent pool. | Experience expectations look relatively accessible for early-career applicants."
